Continent,Country,numUsers,iosMarketShare,androidMarketShare,country_Latitude,country_Longitude,Continent_Latitude,Continent_Longitude,Market Dominator,market leader value
Africa,Algeria,33000000,5.81,93.98,28,3,4.684379,17.806481,Android,93.98
Africa,Angola,,16.13,83.05,-12.5,18.5,4.684379,17.806481,Android,83.05
Africa,Benin,,11.04,85.4,9.5,2.25,4.684379,17.806481,Android,85.4
Africa,Botswana,,9.45,90.12,-22,24,4.684379,17.806481,Android,90.12
Africa,Burkina,,,,,,4.684379,17.806481,Android,
Africa,Burundi,,4.95,84.25,-3.5,30,4.684379,17.806481,Android,84.25
Africa,Cameroon,,13.38,84.12,6,12,4.684379,17.806481,Android,84.12
Africa,Cape Verde,,18.44,81.13,16,-24,4.684379,17.806481,Android,81.13
Africa,Central African Republic,,,,7,21,4.684379,17.806481,Android,
Africa,Chad,,9.34,90.23,15,19,4.684379,17.806481,Android,90.23
Africa,Comoros,,8.86,90.66,-12.17,44.25,4.684379,17.806481,Android,90.66
Africa,Congo,,16.43,82.48,-1,15,4.684379,17.806481,Android,82.48
Africa,Dem. Rep. Congo,,9.53,75.33,,,4.684379,17.806481,Android,75.33
Africa,Djibouti,,14.32,85.38,11.5,43,4.684379,17.806481,Android,85.38
Africa,Egypt,95340000,13.81,85.97,27,30,4.684379,17.806481,Android,85.97
Africa,Equatorial Guinea,,24.65,74.38,2,10,4.684379,17.806481,Android,74.38
Africa,Eritrea,,2.57,90.94,15,39,4.684379,17.806481,Android,90.94
Africa,Ethiopia,18000000,5.33,91.73,8,38,4.684379,17.806481,Android,91.73
Africa,Gabon,,13.64,85.51,-1,11.75,4.684379,17.806481,Android,85.51
Africa,Gambia,,22.01,77.3,13.47,-16.57,4.684379,17.806481,Android,77.3
Africa,Ghana,,22.93,75.61,8,-2,4.684379,17.806481,Android,75.61
Africa,Guinea,,16.06,76.05,11,-10,4.684379,17.806481,Android,76.05
Africa,Guinea-Bissau,,,,12,-15,4.684379,17.806481,Android,
Africa,Ivory Coast,,25.18,73.6,,,4.684379,17.806481,Android,73.6
Africa,Kenya,28080000,3.43,90.67,1,38,4.684379,17.806481,Android,90.67
Africa,Lesotho,,3.8,95.2,-29.5,28.5,4.684379,17.806481,Android,95.2
Africa,Liberia,,15.17,79.07,6.5,-9.5,4.684379,17.806481,Android,79.07
Africa,Libya,,10.48,89.31,,,4.684379,17.806481,Android,89.31
Africa,Madagascar,,4.36,93.23,-20,47,4.684379,17.806481,Android,93.23
Africa,Malawi,,3.7,93.17,-13.5,34,4.684379,17.806481,Android,93.17
Africa,Mali,,19.27,80.03,17,-4,4.684379,17.806481,Android,80.03
Africa,Mauritania,,20.98,78.81,20,-12,4.684379,17.806481,Android,78.81
Africa,Mauritius,,12.44,87.05,-20.28,57.55,4.684379,17.806481,Android,87.05
Africa,Morocco,44450000,21.97,77.32,32,-5,4.684379,17.806481,Android,77.32
Africa,Mozambique,,9.95,86.86,-18.25,35,4.684379,17.806481,Android,86.86
Africa,Namibia,,13.86,85.41,-22,17,4.684379,17.806481,Android,85.41
Africa,Niger,,8.8,90.35,16,8,4.684379,17.806481,Android,90.35
Africa,Nigeria,167371945,10.94,84.34,10,8,4.684379,17.806481,Android,84.34
Africa,Rwanda,,16.56,76.43,-2,30,4.684379,17.806481,Android,76.43
Africa,Sao Tome and Principe,,13.74,85.96,1,7,4.684379,17.806481,Android,85.96
Africa,Senegal,,25.19,74.43,14,-14,4.684379,17.806481,Android,74.43
Africa,Seychelles,,40.03,59.66,-4.58,55.67,4.684379,17.806481,Android,59.66
Africa,Sierra Leone,,9.67,85.48,8.5,-11.5,4.684379,17.806481,Android,85.48
Africa,Somalia,,12.87,86.78,10,49,4.684379,17.806481,Android,86.78
Africa,South Africa,59474500,16.5,83.11,-29,24,4.684379,17.806481,Android,83.11
Africa,South Sudan,,,,,,4.684379,17.806481,Android,
Africa,Sudan,,6.9,88.61,15,30,4.684379,17.806481,Android,88.61
Africa,Swaziland,,,,-26.5,31.5,4.684379,17.806481,Android,
Africa,Tanzania,,7.75,78.46,,,4.684379,17.806481,Android,78.46
Africa,Togo,,9.71,89.09,8,1.17,4.684379,17.806481,Android,89.09
Africa,Tunisia,,8.13,91.56,34,9,4.684379,17.806481,Android,91.56
Africa,Uganda,,6.53,78.26,1,32,4.684379,17.806481,Android,78.26
Africa,Zambia,,8.98,87.38,-15,30,4.684379,17.806481,Android,87.38
Africa,Zimbabwe,13518887,13.36,84.87,-20,30,4.684379,17.806481,Android,84.87
Asia,Afghanistan,,19.89,79.74,33,65,53.919408,85.619606,Android,79.74
Asia,Bahrain,,31.76,67.96,26,50.55,53.919408,85.619606,Android,67.96
Asia,Bangladesh,165615000,3.7,95.74,24,90,53.919408,85.619606,Android,95.74
Asia,Bhutan,,12.58,87.32,27.5,90.5,53.919408,85.619606,Android,87.32
Asia,Brunei,,29.66,69.31,,,53.919408,85.619606,Android,69.31
Asia,Myanmar,,11.6,88.07,22,98,53.919408,85.619606,Android,88.07
Asia,Cambodia,,43.9,55.7,13,105,53.919408,85.619606,Android,55.7
Asia,China,1598360000,24.32,74.98,35,105,53.919408,85.619606,Android,74.98
Asia,East Timor,,,,,,53.919408,85.619606,Android,
Asia,India,1281971713,3.92,95.26,20,77,53.919408,85.619606,Android,95.26
Asia,Indonesia,385573398,9.43,90.47,-5,120,53.919408,85.619606,Android,90.47
Asia,Iran,96165000,6.82,92.93,32,53,53.919408,85.619606,Android,92.93
Asia,Iraq,,23.31,76.49,33,44,53.919408,85.619606,Android,76.49
Asia,Israel,9701200,25.79,73.83,31.5,34.75,53.919408,85.619606,Android,73.83
Asia,Japan,146649600,65.88,33.98,36,138,53.919408,85.619606,IOS,65.88
Asia,Jordan,6010000,19.15,80.66,31,36,53.919408,85.619606,Android,80.66
Asia,Kazakhstan,,25.76,74.04,48,68,53.919408,85.619606,Android,74.04
Asia,North Korea,3000000,99.49,0.51,40,127,53.919408,85.619606,IOS,99.49
Asia,South Korea,56004887,29.79,69.83,37,127.5,53.919408,85.619606,Android,69.83
Asia,Kuwait,,45.9,53.49,29.34,47.66,53.919408,85.619606,Android,53.49
Asia,Kyrgyzstan,,12.8,87.1,41,75,53.919408,85.619606,Android,87.1
Asia,Laos,,19.32,80.43,,,53.919408,85.619606,Android,80.43
Asia,Lebanon,2720000,23.14,76.52,33.83,35.83,53.919408,85.619606,Android,76.52
Asia,Malaysia,30379000,27.04,71.44,2.5,112.5,53.919408,85.619606,Android,71.44
Asia,Maldives,776716,34.58,65.3,3.25,73,53.919408,85.619606,Android,65.3
Asia,Mongolia,3500000,38.29,61.19,46,105,53.919408,85.619606,Android,61.19
Asia,Nepal,34172058,8.43,91.5,28,84,53.919408,85.619606,Android,91.5
Asia,Oman,,25.34,74.4,21,57,53.919408,85.619606,Android,74.4
Asia,Pakistan,165405847,5.9,93.32,30,70,53.919408,85.619606,Android,93.32
Asia,Philippines,106987098,10.43,88.95,13,122,53.919408,85.619606,Android,88.95
Asia,Qatar,,22.62,77.13,25.5,51.25,53.919408,85.619606,Android,77.13
Asia,Russia,256116000,26.16,73.49,60,100,53.919408,85.619606,Android,73.49
Asia,Saudi Arabia,46000000,46.01,53.87,25,45,53.919408,85.619606,Android,53.87
Asia,Singapore,8106700,24.01,75.24,1.37,103.8,53.919408,85.619606,Android,75.24
Asia,Sri Lanka,38849812,11.41,88.37,7,81,53.919408,85.619606,Android,88.37
Asia,Syria,,3.66,95.87,,,53.919408,85.619606,Android,95.87
