Date,Open,Volume,Change,Colour
"Friday, 12 December 1980",0.128348,469033600,0,Blue
"Monday, 15 December 1980",0.12221,175884800,-4.782310593,Red
"Tuesday, 16 December 1980",0.113281,105728000,-7.306276082,Red
"Wednesday, 17 December 1980",0.115513,86441600,1.97032159,Blue
"Thursday, 18 December 1980",0.118862,73449600,2.899240778,Blue
"Friday, 19 December 1980",0.126116,48630400,6.102875604,Blue
"Monday, 22 December 1980",0.132254,37363200,4.866947889,Blue
"Tuesday, 23 December 1980",0.137835,46950400,4.219910173,Blue
"Wednesday, 24 December 1980",0.145089,48003200,5.262814234,Blue
"Friday, 26 December 1980",0.158482,55574400,9.23088587,Blue
"Monday, 29 December 1980",0.160714,93161600,1.408361833,Blue
"Tuesday, 30 December 1980",0.157366,68880000,-2.083203703,Red
"Wednesday, 31 December 1980",0.152902,35750400,-2.83669916,Red
"Friday, 2 January 1981",0.154018,21660800,0.729879269,Blue
"Monday, 5 January 1981",0.151228,35728000,-1.811476581,Red
"Tuesday, 6 January 1981",0.144531,45158400,-4.428412728,Red
"Wednesday, 7 January 1981",0.138393,55686400,-4.246839778,Red
"Thursday, 8 January 1981",0.135603,39827200,-2.015997919,Red
"Friday, 9 January 1981",0.142299,21504000,4.937943851,Blue
"Monday, 12 January 1981",0.142299,23699200,0,Blue
"Tuesday, 13 January 1981",0.136719,23049600,-3.9213206,Red
"Wednesday, 14 January 1981",0.136719,14291200,0,Blue
"Thursday, 15 January 1981",0.139509,14067200,2.040681983,Blue
"Friday, 16 January 1981",0.138951,13395200,-0.399974195,Red
"Monday, 19 January 1981",0.146763,41574400,5.622125785,Blue
"Tuesday, 20 January 1981",0.142857,30083200,-2.66143374,Red
"Wednesday, 21 January 1981",0.145089,15904000,1.562401562,Blue
"Thursday, 22 January 1981",0.146763,35548800,1.15377458,Blue
"Friday, 23 January 1981",0.146763,11222400,0,Blue
"Monday, 26 January 1981",0.144531,24640000,-1.52081928,Red
"Tuesday, 27 January 1981",0.143973,23699200,-0.386076343,Red
"Wednesday, 28 January 1981",0.138951,28156800,-3.488154029,Red
"Thursday, 29 January 1981",0.133929,43904000,-3.614223719,Red
"Friday, 30 January 1981",0.127232,46188800,-5.000410665,Red
"Monday, 2 February 1981",0.11942,23766400,-6.139964789,Red
"Tuesday, 3 February 1981",0.123326,19152000,3.27080891,Blue
"Wednesday, 4 February 1981",0.12779,27865600,3.619674683,Blue
"Thursday, 5 February 1981",0.12779,7929600,0,Blue
"Friday, 6 February 1981",0.128348,13865600,0.436653885,Blue
"Monday, 9 February 1981",0.122768,16755200,-4.347555085,Red
"Tuesday, 10 February 1981",0.121652,18345600,-0.909031669,Red
"Wednesday, 11 February 1981",0.118304,13843200,-2.752112583,Red
"Thursday, 12 February 1981",0.117188,14560000,-0.943332432,Red
"Friday, 13 February 1981",0.114955,11155200,-1.905485203,Red
"Tuesday, 17 February 1981",0.116629,12275200,1.456222,Blue
"Wednesday, 18 February 1981",0.121652,19241600,4.306819059,Blue
"Thursday, 19 February 1981",0.114955,22310400,-5.505047184,Red
"Friday, 20 February 1981",0.108817,24371200,-5.339480666,Red
"Monday, 23 February 1981",0.109933,14112000,1.025575048,Blue
"Tuesday, 24 February 1981",0.107143,16979200,-2.537909454,Red
"Wednesday, 25 February 1981",0.112723,19488000,5.207993056,Blue
"Thursday, 26 February 1981",0.114397,10841600,1.485056288,Blue
"Friday, 27 February 1981",0.118304,14761600,3.415299352,Blue
"Monday, 2 March 1981",0.118862,11760000,0.471666216,Blue
"Tuesday, 3 March 1981",0.117746,16172800,-0.938903939,Red
"Wednesday, 4 March 1981",0.116629,13708800,-0.948652184,Red
"Thursday, 5 March 1981",0.116071,5376000,-0.478440182,Red
"Friday, 6 March 1981",0.115513,11603200,-0.480740237,Red
"Monday, 9 March 1981",0.106027,15321600,-8.212062712,Red
"Tuesday, 10 March 1981",0.101004,28380800,-4.737472531,Red
"Wednesday, 11 March 1981",0.097656,29859200,-3.314720209,Red
"Thursday, 12 March 1981",0.100446,59248000,2.856967314,Blue
"Friday, 13 March 1981",0.099888,231302400,-0.55552237,Red
"Monday, 16 March 1981",0.103237,37228800,3.352755086,Blue
"Tuesday, 17 March 1981",0.108259,43747200,4.864535002,Blue
"Wednesday, 18 March 1981",0.114955,36937600,6.185167053,Blue
"Thursday, 19 March 1981",0.114397,37811200,-0.485407333,Red
"Friday, 20 March 1981",0.114955,14604800,0.487775029,Blue
"Monday, 23 March 1981",0.11942,22019200,3.884128572,Blue
"Tuesday, 24 March 1981",0.11942,28156800,0,Blue
"Wednesday, 25 March 1981",0.117746,7056000,-1.401775247,Red
"Thursday, 26 March 1981",0.114955,12275200,-2.37035653,Red
"Friday, 27 March 1981",0.111049,12252800,-3.397851333,Red
"Monday, 30 March 1981",0.110491,9900800,-0.502480887,Red
"Tuesday, 31 March 1981",0.110491,15993600,0,Blue
"Wednesday, 1 April 1981",0.108817,34070400,-1.515055525,Red
"Thursday, 2 April 1981",0.117746,31404800,8.205519358,Blue
"Friday, 3 April 1981",0.118304,16486400,0.473901449,Blue
"Monday, 6 April 1981",0.116629,22803200,-1.415843928,Red
"Tuesday, 7 April 1981",0.115513,10684800,-0.956880364,Red
"Wednesday, 8 April 1981",0.120536,21952000,4.348428315,Blue
"Thursday, 9 April 1981",0.122768,12499200,1.851728944,Blue
"Friday, 10 April 1981",0.124442,33465600,1.363547504,Blue
"Monday, 13 April 1981",0.124442,16060800,0,Blue
"Tuesday, 14 April 1981",0.124442,6652800,0,Blue
"Wednesday, 15 April 1981",0.118862,34048000,-4.48401665,Red
"Thursday, 16 April 1981",0.112165,23878400,-5.634264946,Red
"Monday, 20 April 1981",0.114955,35347200,2.487406945,Blue
"Tuesday, 21 April 1981",0.122768,28537600,6.796572572,Blue
"Wednesday, 22 April 1981",0.127232,18995200,3.636126678,Blue
"Thursday, 23 April 1981",0.13058,58016000,2.631413481,Blue
"Friday, 24 April 1981",0.13058,35056000,0,Blue
"Monday, 27 April 1981",0.128906,38528000,-1.281972737,Red
"Tuesday, 28 April 1981",0.126674,32188800,-1.731494267,Red
"Wednesday, 29 April 1981",0.125,13641600,-1.321502439,Red
"Thursday, 30 April 1981",0.126674,12611200,1.3392,Blue
"Friday, 1 May 1981",0.126674,16553600,0,Blue
"Monday, 4 May 1981",0.126674,14448000,0,Blue
"Tuesday, 5 May 1981",0.126116,17539200,-0.440500813,Red
"Wednesday, 6 May 1981",0.122768,18950400,-2.654698849,Red
"Thursday, 7 May 1981",0.123884,9363200,0.909031669,Blue
"Friday, 8 May 1981",0.125,7907200,0.900842724,Blue
"Monday, 11 May 1981",0.122768,11939200,-1.7856,Red
"Tuesday, 12 May 1981",0.12221,4256000,-0.454515835,Red
"Wednesday, 13 May 1981",0.12221,4905600,0,Blue
"Thursday, 14 May 1981",0.121094,4928000,-0.913182227,Red
"Friday, 15 May 1981",0.122768,4905600,1.382397146,Blue
"Monday, 18 May 1981",0.125,4166400,1.818063339,Blue
"Tuesday, 19 May 1981",0.123326,25424000,-1.3392,Red
"Wednesday, 20 May 1981",0.126674,13283200,2.714756013,Blue
"Thursday, 21 May 1981",0.133929,32211200,5.727299998,Blue
"Friday, 22 May 1981",0.140067,31427200,4.583025334,Blue
"Tuesday, 26 May 1981",0.140067,85344000,0,Blue
"Wednesday, 27 May 1981",0.147321,149497600,5.178950074,Blue
"Thursday, 28 May 1981",0.147321,73987200,0,Blue
"Friday, 29 May 1981",0.147879,59382400,0.378764738,Blue
"Monday, 1 June 1981",0.147879,51251200,0,Blue
"Tuesday, 2 June 1981",0.141183,40432000,-4.528026292,Red
"Wednesday, 3 June 1981",0.140625,39446400,-0.395231721,Red
"Thursday, 4 June 1981",0.143415,56067200,1.984,Blue
"Friday, 5 June 1981",0.141741,57680000,-1.16724192,Red
"Monday, 8 June 1981",0.136719,93497600,-3.5430821,Red
"Tuesday, 9 June 1981",0.138951,119593600,1.632545586,Blue
"Wednesday, 10 June 1981",0.140625,25222400,1.20474124,Blue
"Thursday, 11 June 1981",0.146763,38976000,4.3648,Blue
"Friday, 12 June 1981",0.145647,25804800,-0.76040964,Red
"Monday, 15 June 1981",0.145089,143763200,-0.383118087,Red
"Tuesday, 16 June 1981",0.142299,37251200,-1.922957633,Red
"Wednesday, 17 June 1981",0.140067,27574400,-1.56852824,Red
"Thursday, 18 June 1981",0.139509,23049600,-0.398380775,Red
"Friday, 19 June 1981",0.135603,27507200,-2.799819366,Red
"Monday, 22 June 1981",0.13058,10841600,-3.704195335,Red
"Tuesday, 23 June 1981",0.132254,15030400,1.281972737,Blue
"Wednesday, 24 June 1981",0.130022,23027200,-1.687661621,Red
"Thursday, 25 June 1981",0.131696,24259200,1.287474427,Blue
"Friday, 26 June 1981",0.131138,23788800,-0.423703074,Red
"Monday, 29 June 1981",0.126674,10595200,-3.404047644,Red
"Tuesday, 30 June 1981",0.116629,35907200,-7.929804064,Red
"Wednesday, 1 July 1981",0.115513,170464000,-0.956880364,Red
"Thursday, 2 July 1981",0.114955,30284800,-0.483062512,Red
"Monday, 6 July 1981",0.112165,16531200,-2.427036667,Red
"Tuesday, 7 July 1981",0.112165,15836800,0,Blue
"Wednesday, 8 July 1981",0.116629,16620800,3.979851112,Blue
"Thursday, 9 July 1981",0.108259,32883200,-7.176602732,Red
"Friday, 10 July 1981",0.099888,55171200,-7.732382527,Red
"Monday, 13 July 1981",0.101563,45740800,1.676878103,Blue
"Tuesday, 14 July 1981",0.106027,19779200,4.395301439,Blue
"Wednesday, 15 July 1981",0.108817,10953600,2.631405208,Blue
"Thursday, 16 July 1981",0.111607,15232000,2.56393762,Blue
"Friday, 17 July 1981",0.115513,19824000,3.49978048,Blue
"Monday, 20 July 1981",0.108259,23654400,-6.279812662,Red
"Tuesday, 21 July 1981",0.107701,31942400,-0.515430588,Red
"Wednesday, 22 July 1981",0.102121,22668800,-5.18101039,Red
"Thursday, 23 July 1981",0.103795,34451200,1.639231892,Blue
"Friday, 24 July 1981",0.107143,28851200,3.225588901,Blue
"Monday, 27 July 1981",0.111607,17337600,4.166394445,Blue
"Tuesday, 28 July 1981",0.108259,22848000,-2.99981184,Red
"Wednesday, 29 July 1981",0.106585,15500800,-1.546291763,Red
"Thursday, 30 July 1981",0.109933,9900800,3.141154947,Blue
"Friday, 31 July 1981",0.111607,10953600,1.522745672,Blue
"Monday, 3 August 1981",0.111607,12432000,0,Blue
"Tuesday, 4 August 1981",0.112165,31673600,0.49996864,Blue
"Wednesday, 5 August 1981",0.115513,17494400,2.984888334,Blue
"Thursday, 6 August 1981",0.113281,10528000,-1.93225005,Red
"Friday, 7 August 1981",0.112723,9206400,-0.492580397,Red
"Monday, 10 August 1981",0.112723,0,0,Blue
"Tuesday, 11 August 1981",0.110491,71456000,-1.980075051,Red
"Wednesday, 12 August 1981",0.107701,26275200,-2.525092541,Red
"Thursday, 13 August 1981",0.104353,27484800,-3.108606234,Red
"Friday, 14 August 1981",0.103237,24192000,-1.069446973,Red
"Monday, 17 August 1981",0.099888,18905600,-3.24399198,Red
"Tuesday, 18 August 1981",0.097656,17001600,-2.234502643,Red
"Wednesday, 19 August 1981",0.09654,20675200,-1.142786926,Red
