Date,Open,Volume,Change,Colour
4/01/2000,6000,74195000,0,Blue
5/01/2000,5800,74680000,-3.333333333,Red
6/01/2000,5750,54390000,-0.862068966,Red
7/01/2000,5560,40305000,-3.304347826,Red
10/01/2000,5600,46880000,0.71942446,Blue
11/01/2000,5820,59745000,3.928571429,Blue
12/01/2000,5610,29220000,-3.608247423,Red
13/01/2000,5600,41190000,-0.178253119,Red
14/01/2000,5720,49375000,2.142857143,Blue
17/01/2000,6000,63505000,4.895104895,Blue
18/01/2000,6160,45260000,2.666666667,Blue
19/01/2000,6000,40205000,-2.597402597,Red
20/01/2000,5860,37315000,-2.333333333,Red
21/01/2000,5950,32535000,1.535836177,Blue
24/01/2000,5800,34355000,-2.521008403,Red
25/01/2000,5520,44250000,-4.827586207,Red
26/01/2000,5500,29285000,-0.362318841,Red
27/01/2000,5480,27900000,-0.363636364,Red
28/01/2000,5640,38315000,2.919708029,Blue
31/01/2000,5640,39630000,0,Blue
1/02/2000,5600,71470000,-0.709219858,Red
2/02/2000,5220,64105000,-6.785714286,Red
3/02/2000,5250,142765000,0.574712644,Blue
4/02/2000,5130,0,-2.285714286,Red
7/02/2000,5140,64140000,0.194931774,Blue
8/02/2000,5340,58460000,3.891050584,Blue
9/02/2000,5560,51050000,4.119850187,Blue
10/02/2000,5660,61845000,1.798561151,Blue
11/02/2000,5960,34660000,5.300353357,Blue
14/02/2000,5600,44140000,-6.040268456,Red
15/02/2000,5380,38315000,-3.928571429,Red
16/02/2000,5180,73115000,-3.717472119,Red
17/02/2000,4940,65185000,-4.633204633,Red
18/02/2000,5370,108750000,8.704453441,Blue
21/02/2000,5200,26485000,-3.165735568,Red
22/02/2000,5000,24180000,-3.846153846,Red
23/02/2000,5220,27720000,4.4,Blue
24/02/2000,5120,26075000,-1.915708812,Red
25/02/2000,5080,27875000,-0.78125,Red
28/02/2000,5000,30140000,-1.57480315,Red
29/02/2000,4900,51820000,-2,Red
1/03/2000,5120,0,4.489795918,Blue
2/03/2000,5880,117750000,14.84375,Blue
3/03/2000,6200,140990000,5.442176871,Blue
6/03/2000,6000,39150000,-3.225806452,Red
7/03/2000,5600,30070000,-6.666666667,Red
8/03/2000,5520,32460000,-1.428571429,Red
9/03/2000,5970,55890000,8.152173913,Blue
10/03/2000,5790,28605000,-3.015075377,Red
13/03/2000,5480,32215000,-5.354058722,Red
14/03/2000,5170,30060000,-5.656934307,Red
15/03/2000,5200,46105000,0.580270793,Blue
16/03/2000,5480,28795000,5.384615385,Blue
17/03/2000,5540,24080000,1.094890511,Blue
20/03/2000,5600,26365000,1.083032491,Blue
21/03/2000,5700,44925000,1.785714286,Blue
22/03/2000,5960,86975000,4.561403509,Blue
